City,Name,Cuisine,Neighborhood,Address,Website,Lat,Lon,Place_ID,Google_Maps_URL,Google_Name,OpenTableUrl
Charleston,Tempest,Contemporary American,Downtown Charleston,"32 N Market St Suite C, Charleston, SC 29401, USA",https://www.tempestcharleston.com/,32.7812976,-79.9276659,ChIJiUKdZs17_ogREZcxVv3eh-8,https://maps.google.com/?cid=17260009276574897937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Tempest Charleston,https://www.opentable.com/r/tempest-charleston
Charleston,Southbound,American,Downtown Charleston,"72 Cannon St, Charleston, SC 29403, USA",https://southboundchs.com/,32.7901899,-79.9450892,ChIJoSd4pKB7_ogRLm3SMIZISNg,https://maps.google.com/?cid=15584786251697515822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Southbound,https://www.opentable.com/r/southbound-charleston
Charleston,Ma'am Saab,Pakistani,Downtown Charleston,"251 Meeting St, Charleston, SC 29401, USA",https://maamsaabchs.com/,32.7833431,-79.9321675,ChIJXRzKDxl7_ogR-ESom4Gc2xY,https://maps.google.com/?cid=1647082169210258680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Ma'am Saab - Restaurant & Cocktail Bar,https://www.opentable.com/r/maam-saab-charleston
Charlotte,La Belle Helene,French,Uptown,"300 S Tryon St #100, Charlotte, NC 28202, USA",https://www.labellehelenerestaurant.com/,35.2256085,-80.8457662,ChIJv9jfOvOhVogRx76kR5Bm5M4,https://maps.google.com/?cid=14908153436366487239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,La Belle Helene,https://www.opentable.com/r/la-belle-helene-charlotte-2
Charlotte,Fin & Fino - Uptown Charlotte,Seafood,Uptown,"135 Levine Avenue of the Arts #100, Charlotte, NC 28202, USA",https://www.finandfino.com/,35.2245544,-80.8482895,ChIJd2EJqy6gVogR4FHkcJtMqTY,https://maps.google.com/?cid=3938763579609862624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Fin & Fino,https://www.opentable.com/r/fin-and-fino-uptown-charlotte
Charlotte,Customshop,Contemporary American,Elizabeth,"1601 Elizabeth Ave, Charlotte, NC 28204, USA",https://www.customshopfood.com/,35.2138889,-80.8263889,ChIJH_3-m_afVogR4njtgkS9k5Y,https://maps.google.com/?cid=10850224029217683682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Customshop,https://www.opentable.com/r/rally-pickleball-charlotte
Charlotte,The Goodyear House,Southern,NODA,"3032 N Davidson St, Charlotte, NC 28205, USA",https://thegoodyearhouse.com/,35.2460173,-80.8071503,ChIJKYCNXs4fVIgR9uco_0Nz71E,https://maps.google.com/?cid=5904064372386883574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Goodyear House,https://www.opentable.com/r/the-goodyear-house-charlotte
Charlotte,Rooster's Ballantyne,American,Ballantyne,"15110 Bowl St #101, Charlotte, NC 28277, USA",https://www.roosterskitchen.com/ballantyne,35.0573504,-80.8451854,ChIJeRUUGiWdVogRllqy_o3EN-0,https://maps.google.com/?cid=17093347024850541206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Rooster's Wood-fired Kitchen Ballantyne,https://www.opentable.com/r/roosters-wood-fired-kitchen-south-park-charlotte
Chicago,Alla Vita,Contemporary Italian,West Loop,"564 W Randolph St, Chicago, IL 60661, USA",https://www.allavitachicago.com/,41.884577,-87.6425214,ChIJEUAV9zMtDogRJbm6cdw59JE,https://maps.google.com/?cid=10517094648780601637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Alla Vita,https://www.opentable.com/r/alla-vita-chicago
Chicago,Mott Street,Central Asian,Bucktown / Wicker Park,"1401 N Ashland Ave, Chicago, IL 60622, USA",https://mottstreetchicago.com/,41.9071223,-87.6672277,ChIJKRH5t9rSD4gRCcziAsL8HuI,https://maps.google.com/?cid=16293738412075305993&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mott St,https://www.opentable.com/mott-street
