City,Name,Cuisine,Neighborhood,OpenTable_URL
Los Angeles,Meteora,Californian,Hollywood,https://www.opentable.com/r/meteora-los-angeles-2
Los Angeles,chi SPACCA,Italian,Hollywood,https://www.opentable.com/r/chi-spacca-los-angeles
Los Angeles,Ronan,Pizzeria,West Hollywood,https://www.opentable.com/r/ronan-los-angeles
Los Angeles,Steak 48 - Beverly Hills,Steakhouse,Beverly Hills,
Los Angeles,Delilah - Los Angeles,American,West Hollywood,
Los Angeles,Super Peach,Asian,Century City,https://www.opentable.com/r/super-peach-huntington-beach
Los Angeles,The Nice Guy,Italian,West Hollywood,https://www.opentable.com/r/delilah-los-angeles-west-hollywood
Los Angeles,Somni,Spanish,West Hollywood,https://www.opentable.com/r/somni-los-angeles
Los Angeles,La Dolce Vita,Italian,Beverly Hills,https://www.opentable.com/r/la-dolce-vita-beverly-hills
Los Angeles,Vespertine,Californian,Culver City,https://www.opentable.com/r/vespertine-culver-city
Los Angeles,Gjelina,American,Venice,https://www.opentable.com/r/gjelina-new-york
Los Angeles,Anajak Thai Cuisine,Thai,Sherman Oaks,https://www.opentable.com/r/anajak-thai-cuisine-sherman-oaks
Los Angeles,Petit Trois Le Valley,French,Sherman Oaks,https://www.opentable.com/r/petite-trois-le-valley-sherman-oaks
Los Angeles,Harriet's,Cocktail Bar,West Hollywood,https://www.opentable.com/r/harriets-west-hollywood
Los Angeles,Amiga Amore,Mexican,Highland Park,https://www.opentable.com/r/amiga-amore-los-angeles
Los Angeles,Xuntos,Tapas / Small Plates,Santa Monica,https://www.opentable.com/r/xuntos-santa-monica
Los Angeles,pasjoli,French,Santa Monica,https://www.opentable.com/r/pasjoli-santa-monica
Los Angeles,Melisse,Californian,Santa Monica,https://www.opentable.com/r/dear-johns-culver-city-2
Maine,REGARDS,Seafood,Portland,https://www.opentable.com/r/regards-portland
Maine,Benny's,Italian,Portland,https://www.opentable.com/r/bennys-portland-2
Maine,Mr. Tuna,Sushi,Portland,https://www.opentable.com/r/mr-tuna-portland
Miami,DOYA,Mediterranean,Wynwood,https://www.opentable.com/r/doya-miami
Miami,Nami Nori - Design District,Japanese,Design District,https://www.opentable.com/r/nami-nori-design-district
Miami,L'Atelier de Joël Robuchon - Miami,French,Design District,
Miami,Delilah - Miami,American,Brickell,
Miami,Luca Osteria,Italian,Coral Gables,https://www.opentable.com/r/luca-osteria-coral-gables
Miami,Eating House,American,Coral Gables,https://www.opentable.com/r/eating-house
Miami,Los Félix Miami,Mexican,Coconut Grove,https://www.opentable.com/r/los-felix-miami
