name,city,state,country,address,website,lat,lon,place_id,google_maps_url,google_name
Soju Haus,New York,NY,USA,"315 5th Ave fl 2, New York, NY 10016, USA",http://www.sojuhaus.com/,40.7469816,-73.9854428,ChIJwTK_XahZwokRghFqibPmuKQ,https://maps.google.com/?cid=11869490476713906562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soju Haus
Soft Bar + Cafe,New York,NY,USA,"200 Banker St, Brooklyn, NY 11222, USA",https://www.soft-bar.com/,40.725057899999996,-73.9557094,ChIJoR8SsQ5ZwokRZUuMIpgCrDA,https://maps.google.com/?cid=3507181062252677989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soft Bar
Soho Diner,New York,NY,USA,"320 W Broadway, New York, NY 10013, USA",https://www.sohodinernyc.com/,40.7221421,-74.0043276,ChIJVyc61eJZwokRrHejnuFokOU,https://maps.google.com/?cid=16541836749570275244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soho Diner
Soledad,New York,NY,USA,"1825 2nd Ave, New York, NY 10128, USA",http://www.soledadnyc.com/,40.783359499999996,-73.947991,ChIJTVPNkiRZwokRNeH7-uZGlxw,https://maps.google.com/?cid=2060193312412524853&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soledad
Sol Et Soleil,New York,NY,USA,"14 Bushwick Ave, Brooklyn, NY 11211, USA",https://soletsoleil.com/,40.7143405,-73.9421244,ChIJUf6Rk6xZwokRUET3peI9i7A,https://maps.google.com/?cid=12721329616094446672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sol Et Soleil
Somtum Der - East Village,New York,NY,USA,"85 Avenue A, New York, NY 10009, USA",http://www.somtumdernewyork.com/,40.725238499999996,-73.984342,ChIJY_1BtoJZwokR-sB-pdEPW44,https://maps.google.com/?cid=10257809969365565690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Somtum Der
Sonnyboy,New York,NY,USA,"65 Rivington St, New York, NY 10002, USA",https://www.sonnyboynyc.com/,40.7205154,-73.9901841,ChIJlWIymCBZwokRQMYxkk_fBmE,https://maps.google.com/?cid=6991521004387419712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sonnyboy
SORA,New York,NY,USA,"713 61st St, Brooklyn, NY 11220, USA",https://www.soranewyork.co/,40.6359962,-74.0117485,ChIJF-MfNfhFwokR11TzwLwpMcE,https://maps.google.com/?cid=13920953813846676695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SORA
SOOGIL,New York,NY,USA,"108 E 4th St, New York, NY 10003, USA",http://soogil.com/,40.725625,-73.98834169999999,ChIJgzeCUpxZwokRbd_EmbP7osI,https://maps.google.com/?cid=14025048938382679917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soogil
Soso's,New York,NY,USA,"191 Centre St, New York, NY 10013, USA",https://www.sosos.nyc/,40.7186113,-73.9997358,ChIJb-R6YVhZwokR0G353ivsIRc,https://maps.google.com/?cid=1666873010272431568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soso's
Sotto La Luna,New York,NY,USA,"34-39 31st St, Astoria, NY 11106, USA",https://www.sottolalunanyc.com/,40.7582411,-73.92817939999999,ChIJBTuSXqhfwokRpjEVqzy1U6U,https://maps.google.com/?cid=11913064711498052006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sotto la Luna
Sound + Fury Brewery and Kitchen,New York,NY,USA,"141 Lawrence St, Brooklyn, NY 11201, USA",http://www.soundandfurybrewing.com/,40.69166,-73.986036,ChIJ2X4lr2RbwokRT2ZR3a9IGhM,https://maps.google.com/?cid=1376492556284683855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sound + Fury Brewery and Kitchen
SourAji,New York,NY,USA,"23 Avenue B, New York, NY 10009, USA",https://souraji.site/,40.7221675,-73.9831145,ChIJOw7xqgZZwokRO2ReYlnHxJw,https://maps.google.com/?cid=11296372952068416571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SourAji
